title_eng,title_eng_dub,title_jap,poster_link,no_episodes,status,aired_start,aired_end,studio,duration,tags,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.hack//Sign ,.hack//Sign ,.hack//SIGN ,https://i.animepahe.com/posters/fdf24b1dcd574fbd109d662b62a01747.jpg ,26,Finished Airing ,Apr 04 2002 ,Apr 04 2002 ,Bee Train ,24 minutes ,Game;Sci-Fi;Adventure;Mystery;Magic;Fantasy ,"A young wavemaster;; only known by the alias of Tsukasa;; wakes up in an MMORPG called The World;; with slight amnesia. He does not know what he has previously done before he woke up. In The World;; the Crimson Knights suspects him of being a hacker;; as he was seen accompanying a tweaked character in the form of a cat. Unable to log out from the game;; he wanders around looking for answers;; avoiding the knights and other players he meets along the way.As Tsukasa explores The World;; he stumbles upon a magical item that takes the form of a ""guardian;;"" which promises him protection from all harm. Subaru;; the leader of the Crimson Knights;; along with several other players who became acquainted with Tsukasa;; set out to investigate why Tsukasa is unable to log out;; and attempt to get to the bottom of the problem before it gets out of hand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[email protected] , ,ささみさん@がんばらない ,https://i.animepahe.com/posters/6ba5fba3b98ca33f1bd678b2663eefff.jpg ,12,Finished Airing ,Jan 11 2013 ,Jan 11 2013 ,Shaft ,24 minutes ,Comedy;Romance;Supernatural ,"The Japanese call them hikikomori—people who've become so withdrawn socially that they refuse to leave their homes for weeks and even months at a time. For Sasami Tsukuyomi;; who's attempting to pass her first year of high school despite being a shut in;; it's more than just a word. Fortunately though;; she lives with her older brother Kamiomi;; who just happens to be a teacher at the school Sasami is supposed to attend. Not to mention;; her ""Brother Surveillance Tool"" which lets her view the outside world via her computer and will;; theoretically;; allow her to readjust to interfacing with people again. What it mainly does;; however;; is let her view her brother's interactions with the three very odd Yagami sisters;; who inexplicably seem to have had their ages reversed and have various types of ""interest"" in Kamiomi. And then things start to get really weird... Magical powers? Everything turning into chocolate? Is life via the web warping Sasami's brain;; or is it the universe that's going crazy?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[email protected] , ,GJ部@ ,https://i.animepahe.com/posters/66d3897ef65268b45fb9a8b128c9bd02.jpg ,1,Finished Airing ,May 06 2014 ,May 06 2014 ,Doga Kobo ,46 minutes ,Comedy;School;Slice of Life ,"During the school's spring break;; Kyouya ""Kyoro"" Shinomiya has once again been kidnapped. Upon release;; he finds himself in the GJ Club room;; together with his captors;; the cute GJ club members. At first glance;; Kyoro does not see anything out of the ordinary in the club room;; but as he gazes out of the window;; he realizes that they are no longer in Japan but in New York!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Ghost ,07-Ghost ,セブンゴースト ,https://i.animepahe.com/posters/49a47361a1af8a3193ee1883720a96e3.jpg ,25,Finished Airing ,Apr 07 2009 ,Apr 07 2009 ,Studio Deen ,23 minutes ,Action;Demons;Fantasy;Josei;Magic;Military ,"Barsburg Empire's Military Academy is known for training elites who bring victory to the empire. Students of the academy freely utilize an ability called ""Zaiphon"" to fight;; while the types of Zaiphon usable depends on the nature of the soldier.Teito Klein;; a student at the academy;; is one of the most promising soldiers produced. Although ridiculed by everyone for being a sklave with no memories of his past;; he is befriended by a fellow student called Mikage. While preparing for the final exam;; Teito uncovers a dark secret related to his past. When an attempt to assassinate Ayanami;; a high-ranking official who killed his father;; fails;; Teito is locked away awaiting punishment.Only wanting the best for Teito;; Mikage helps him escape. Teito ends up at the 7th District Church where he is taken in by the bishops. It is here that Teito attempts to evade the grasp of Ayanami and the Military;; so he can rediscover his memories and learn why he is the person that can change the fate of the world.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100% Pascal-sensei (TV) ,100% Teacher Pascal ,100%パスカル先生 (TV) ,https://i.animepahe.com/posters/603fe68a5c2b2789cc71390813e4a87a.jpg ,36,Finished Airing ,Apr 15 2017 ,Apr 15 2017 ,OLM ,12 minutes ,Comedy ,The story centers around an elementary school teacher who is so stupid that he cannot even write his own name. He does whatever he likes in his classroom. Plus;; by all appearances;; he is not human.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11eyes ,11eyes ,11eyes イレブンアイズ ,https://i.animepahe.com/posters/82ab06fb6c4ad0c34b5c06f9bfccc07d.jpg ,12,Finished Airing ,Oct 07 2009 ,Oct 07 2009 ,Doga Kobo ,25 minutes ,Action;Ecchi;Super Power;Supernatural ,"When the Sky turns Red;; the Moon turns Black;; and monsters begin roaming the streets;; Satsuki Kakeru is at a loss for what to do. Along with his best friend Yuka;; they try to decipher why they have been sent to this strange world;; which is seemingly empty aside from themselves.However;; when the ""Red Night"" ends;; Kakeru and Yuka believed it was all a dream;; until it happens again and they are left in a dangerous situation. They meet four others in the same predicament: Kusakabe Misuzu;; an expert swordswoman;; Tachibana Kukuri;; a strange mute girl who looks uncannily like Kakeru's deceased sister;; Hirohara Yukiko;; a lively young girl whose personality reverts to that of a cold killer when her glasses are removed;; and Tajima Takahisa;; a young pyrokineticist.As the six of them band together to survive and discover what this mysterious world is;; things take a turn for the worse as six shadows appear before them...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11eyes: Momoiro Genmutan , ,11eyes 桃色幻夢譚 ～rö zsaszí n é jszaka ,https://i.animepahe.com/posters/5182a5280f28ac3c14e68b2e26473c6d.jpg ,1,Finished Airing ,Jun 25 2010 ,Jun 25 2010 ,Doga Kobo ,23 minutes ,Ecchi;Comedy;Super Power;Supernatural ,"Extra Blu-ray/DVD Episode 13 included on vol. 7. In this special episode;; Kakeru and the team enter a ""Pink Night"" instead of red. The ""Black Knights"" are now ""Pink Ero-Rangers"" and Lisolette is a bondage driver. The team's powers are also warped with an erotic twist. Kakeru can see through clothes;; Yuka can change the boys into girls;; Misuzu's swords are vibrators;; Kukuri can speak;; but only says and draws profanities;; Yukiko becomes sexually excited when she takes off her glasses;; and Takahisa shoots a small spout of water from his finger. This episode is merely a parody and is in no way related to the original storyline.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-sai.: Chicchana Mune no Tokimeki , ,12歳。～ちっちゃなムネのトキメキ～ ,https://i.animepahe.com/posters/b68c1c44a210218492f75535c3bd72f7.jpg ,12,Finished Airing ,Apr 04 2016 ,Apr 04 2016 ,OLM ,24 minutes ,Romance;School;Shoujo ,Reaching a period of life where they are neither a child nor an adult;; 12-year-old Hanabi Ayase and Aoi Yui meet with life-changing events. Due to the mischievous demeanor of her male classmates;; Ayase does not think highly of the opposite sex. However;; her perspective begins to change after she is paired with the kind-hearted Takao Yuuto for a class assignment and unexpectedly shared their first kisses with each other on the school rooftop.With her best friend discovering love;; Aoi yearns to seek her own. She finds herself falling in love with the rash Kazuma Hiyama after protecting her from a rejected suitor who had talked behind her back.12-sai.: Chicchana Mune no Tokimeki follows the four in this phase of adolescence. As they grow up alongside each other;; this sweet romance depicts the innocence and excitement of first love.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-sai.: Chicchana Mune no Tokimeki 2nd Season , ,12歳。～ちっちゃなムネのトキメキ～ ,https://i.animepahe.com/posters/c25798d7b96adddfdff324e7c844bd51.jpg ,12,Finished Airing ,Oct 03 2016 ,Oct 03 2016 ,OLM ,24 minutes ,Romance;School;Shoujo ,The story begins with Hanabi;; a sixth-grade girl who is neither an adult nor a child. She deals with issues such as accidentally witnessing her homeroom teacher kissing;; and worrying about experiencing physiological changes before her friends. The series depicts a 12-year-old girl's innocent worries and first love.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18if ,18if ,18if ,https://i.animepahe.com/posters/0f34f060e94a8ceff0fa1d40b3ec0c31.jpg ,13,Finished Airing ,Jul 07 2017 ,Jul 07 2017 ,Gonzo ,23 minutes ,Mystery;Supernatural ,"Waking up in a strange bedroom in a dream world;; teenager Haruto Tsukishiro finds a strange app on his phone. When he activates the program;; an odd woman appears and tries to drag him to her realm. Luckily;; a mysterious;; white-haired girl severs their connection and helps him escape;; revealing that the woman is a witch; however;; their conversation is cut short. As Haruto enters the realm again;; he meets an anthropomorphic;; talking cat named Katsumi Kanzaki. While the witch's minions pursue them;; the white-haired girl opens a door for them to escape.After their ordeal;; Haruto describes their savior—which only he can see—and Katsumi;; the leading authority on dream world research;; realizes that she must be ""Lily;;"" a being that resurfaces repeatedly across multiple dreamscapes. Hoping to leave the dream world through a blue door;; they enter the witch's realm once again. Finding themselves in peril;; Lily reveals the truth to Haruto: witches suffer from ""Sleeping Beauty Syndrome;;"" a coma-like sleep state induced by torment in their real world lives. Thus;; they cannot wake until they are defeated in the dream world.After finally defeating the witch and locating the blue door;; Haruto and Katsumi say their farewells;; promising to meet up in the real world. However;; when Haruto exits through the door he awakens in the dream world bedroom once more. Seeking answers;; Haruto and Katsumi try to uncover the mysteries of the witches;; Lily;; and Haruto's own inability to leave the dream world.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
